name,code,product_type,color,accessory_type,brand,series,dashboard_group
Alüminyum Profiller,,aksesuar,,Alüminyum Profiller,Egepen Deceuninck,,
Bareller,,aksesuar,,Bareller,Egepen Deceuninck,,aksesuar_tek_acilim
Cam,,diger,,,Yerel Tedarikçi,,cam
Çift Açılım Aksesuarları,,aksesuar,,Çift Açılım Aksesuarları,Egepen Deceuninck,,aksesuar_cift_acilim
Contalar,,aksesuar,,Contalar,Egepen Deceuninck,,
Destek Profilleri,,profil,Beyaz,,Egepen Deceuninck,Destek Profilleri,profil_mtul
Destek Sacı,,diger,,,Yerel Tedarikçi,,
Diğer Profil Tedarikçileri,,profil,Antrasit Gri,,Bilinmiyor,Diğer,
Diğer Yardımcı Malzemeler,,aksesuar,,Diğer Yardımcı Malzemeler,Egepen Deceuninck,,
Doğrama Lambrileri,,profil,Beyaz,,Egepen Deceuninck,Doğrama Lambrileri,lambri
Enjeksiyon Malzemeler,,aksesuar,,Enjeksiyon Malzemeler,Egepen Deceuninck,,
Eşikler,,aksesuar,,Eşikler,Egepen Deceuninck,,kapi_aksesuari
Fırçalar,,aksesuar,,Fırçalar,Egepen Deceuninck,,
Hebeschiebe HS76 Aksesuarları,,aksesuar,,Hebeschiebe HS76 Aksesuarları,Egepen Deceuninck,,
HS76 Aksesuar,,aksesuar,,HS76 Aksesuar,Egepen Deceuninck,,
HS76 Ana Profiller,,profil,Beyaz,,Egepen Deceuninck,HS76 Ana Profiller,profil_mtul
İspanyoletler,,aksesuar,,İspanyoletler,Egepen Deceuninck,,aksesuar_tek_acilim
Katlanır Kapı Aksesuarları,,aksesuar,,Katlanır Kapı Aksesuarları,Egepen Deceuninck,,kapi_aksesuari
Kepenk Aksesuarları,,aksesuar,,Kepenk Aksesuarları,Egepen Deceuninck,,
Kepenk Sistemi Profilleri,,profil,Beyaz,,Egepen Deceuninck,Kepenk Sistemi Profilleri,
Kilit Karşılıkları,,aksesuar,,Kilit Karşılıkları,Egepen Deceuninck,,aksesuar_tek_acilim
Kilitler,,aksesuar,,Kilitler,Egepen Deceuninck,,kapi_aksesuari
Lambri ve Sineklik Profilleri,,profil,Beyaz,,Egepen Deceuninck,Lambri ve Sineklik Profilleri,lambri
Legend Ana Profiller,,profil,Beyaz,,Egepen Deceuninck,Legend Ana Profiller,profil_mtul
Legend Art Ana Profiller,,profil,Beyaz,,Egepen Deceuninck,Legend Art Ana Profiller,profil_mtul
Legend Art Cam Çıta,,profil,Beyaz,,Egepen Deceuninck,Legend Art Cam Çıta,profil_mtul
Legend Art Yardımcı Malzemeler,,aksesuar,,Legend Art Yardımcı Malzemeler,Egepen Deceuninck,,
Legend Cam Çıta,,profil,Beyaz,,Egepen Deceuninck,Legend Cam Çıta,profil_mtul
Legend Crown 76 Profilleri,,profil,Beyaz,,Egepen Deceuninck,Legend Crown 76 Profilleri,profil_mtul
Legend Crown Profilleri,,profil,Beyaz,,Egepen Deceuninck,Legend Crown Profilleri,profil_mtul
Legend Sürme Kasa Profili,PRF-LEGEND-KASA-ANT,profil,Antrasit Gri,,Egepen,,profil_mtul
Legend Sürme Ortakayıt Profili,PRF-LEGEND-ORTAKAYIT-ANT,profil,Antrasit Gri,,Egepen,,profil_mtul
Legend Sürme Plus Aksesuar,,aksesuar,,Legend Sürme Plus Aksesuar,Egepen Deceuninck,,
Legend Sürme Plus Ana Profiller,,profil,Beyaz,,Egepen Deceuninck,Legend Sürme Plus Ana Profiller,profil_mtul
Legend Sürme Plus Kanat Profili,PRF-LEGEND-KANAT-ANT,profil,Antrasit Gri,,Egepen,,profil_mtul
Legend Yardımcı Profiller,,profil,Beyaz,,Egepen Deceuninck,Legend Yardımcı Profiller,profil_mtul
LS Plus Aksesuar,AKS-LSPLUS,aksesuar,,Diğer Aksesuar,Egepen,,
Menteşeler,,aksesuar,,Menteşeler,Egepen Deceuninck,,aksesuar_tek_acilim
Nakliye ve Hizmet Bedelleri,DGR-NAKLIYE,diger,,,,,
Ortakayıt Takozları,,aksesuar,,Ortakayıt Takozları,Egepen Deceuninck,,
Panjur Genel Malzemeleri,,aksesuar,,Panjur Genel Malzemeleri,Egepen Deceuninck,,
Panjur Orta Bölme Malzemeleri,,aksesuar,,Panjur Orta Bölme Malzemeleri,Egepen Deceuninck,,
Panjur Profilleri,,profil,Beyaz,,Egepen Deceuninck,Panjur Profilleri,
Panjur Yan Kit Malzemeleri,,aksesuar,,Panjur Yan Kit Malzemeleri,Egepen Deceuninck,,
Pencere ve Kapı Kolları,,aksesuar,,Pencere ve Kapı Kolları,Egepen Deceuninck,,aksesuar_tek_acilim
Pervaz ve Kapatma Profilleri,,profil,Beyaz,,Egepen Deceuninck,Pervaz ve Kapatma Profilleri,pervaz
Sineklik Malzemeler,,aksesuar,,Sineklik Malzemeler,Egepen Deceuninck,,
Sınıflandırılmamış,,diger,,,,,
Storbox Panjur Sistemi,,profil,Beyaz,,Egepen Deceuninck,Storbox Panjur Sistemi,
Sürme Aksesuarları,,aksesuar,,Sürme Aksesuarları,Egepen Deceuninck,,
Sürme Ana Profiller,,profil,Beyaz,,Egepen Deceuninck,Sürme Ana Profiller,profil_mtul
Sürme Cam Çıta,,profil,Beyaz,,Egepen Deceuninck,Sürme Cam Çıta,profil_mtul
Ultraslide Sürme Aksesuarları,,aksesuar,,Ultraslide Sürme Aksesuarları,Ultraslide,,
Vidalar,,aksesuar,,Vidalar,Egepen Deceuninck,,
