category_name,name,code,unit,color,aliases_text,min_stock_level
Kepenk Aksesuarları,"10x29 Aluminyum Kutu 1,2 mm",12970,adet,,"",0.0
Kepenk Aksesuarları,10x29 Kutu Destek Sacı 1 mm,12986,adet,,"",0.0
Legend Art Yardımcı Malzemeler,120/67 Statik Ortakayıt Kapak,11615,adet,,"",0.0
Pervaz ve Kapatma Profilleri,12055_3_862_0_6.5 / pervaz 90 mm,12055_3_862_0_6-5-PE,adet,Beyaz,"",0.0
Kilit Karşılıkları,13 Aks. Emniyetli Kilit Karşılık,12813,adet,,"",0.0
Destek Profilleri,135 Köşe Dönüş (934 Nimbus (Çift Yüz)),12353-934NIMBUS,mtul,934 Nimbus,"",0.0
Destek Profilleri,135 Köşe Dönüş (Antrasit Gri),12353-ANTRASIT,mtul,Antrasit Gri,"",0.0
Destek Profilleri,135 Köşe Dönüş (Beyaz),12353-BEYAZ,mtul,Beyaz,"",0.0
İspanyoletler,15 Eks. İspanyolet 100 cm,13405,adet,,"",0.0
İspanyoletler,15 Eks. İspanyolet 110 cm,13406,adet,,"",0.0
İspanyoletler,15 Eks. İspanyolet 120 cm,13407,adet,,"",0.0
İspanyoletler,15 Eks. İspanyolet 140 cm,13408,adet,,"",0.0
İspanyoletler,15 Eks. İspanyolet 160 cm,13409,adet,,"",0.0
İspanyoletler,15 Eks. İspanyolet 180 cm,13410,adet,,"",0.0
İspanyoletler,15 Eks. İspanyolet 200 cm,13458,adet,,"",0.0
İspanyoletler,15 Eks. İspanyolet 25 cm,13400,adet,,"",0.0
İspanyoletler,15 Eks. İspanyolet 40 cm,13401,adet,,"",0.0
İspanyoletler,15 Eks. İspanyolet 60 cm,13402,adet,,"",0.0
İspanyoletler,15 Eks. İspanyolet 80 cm,13403,adet,,"",0.0
İspanyoletler,15 Eks. Sürme İspanyolet 100 cm,13391,adet,,"",0.0
İspanyoletler,15 Eks. Sürme İspanyolet 120 cm,13396,adet,,"",0.0
İspanyoletler,15 Eks. Sürme İspanyolet 140 cm,13392,adet,,"",0.0
İspanyoletler,15 Eks. Sürme İspanyolet 160 cm,13398,adet,,"",0.0
İspanyoletler,15 Eks. Sürme İspanyolet 180 cm,13393,adet,,"",0.0
İspanyoletler,15 Eks. Sürme İspanyolet 200 cm,13394,adet,,"",0.0
İspanyoletler,15 Eks. Sürme İspanyolet 25 cm,13388,adet,,"",0.0
İspanyoletler,15 Eks. Sürme İspanyolet 40 cm,13389,adet,,"",0.0
İspanyoletler,15 Eks. Sürme İspanyolet 60 cm,13390,adet,,"",0.0
İspanyoletler,15 Eks. Sürme İspanyolet 80 cm,13395,adet,,"",0.0
İspanyoletler,22 Eksen Emniyetli İspanyolet 100 cm,13376,adet,,"",0.0
İspanyoletler,22 Eksen Emniyetli İspanyolet 120 cm,13377,adet,,"",0.0
İspanyoletler,22 Eksen Emniyetli İspanyolet 28 cm,13372,adet,,"",0.0
İspanyoletler,22 Eksen Emniyetli İspanyolet 60 cm,13374,adet,,"",0.0
İspanyoletler,22 Eksen Emniyetli İspanyolet 80 cm,13375,adet,,"",0.0
Kepenk Aksesuarları,25 Kepenk Delikli Enjeksiyon Çıta,13144,adet,,"",0.0
İspanyoletler,28 Eks. Barelsiz Kilitli İspanyolet 28/85,13541,adet,,"",0.0
İspanyoletler,28 Eks. Kilitli İspanyolet 160 cm 28/85,13346,adet,,"",0.0
İspanyoletler,28 Eks. Kilitli İspanyolet 180 cm 28/85,12802,adet,,"",0.0
İspanyoletler,28 Eks. Kilitli İspanyolet 210 cm 28/85,13339,adet,,"",0.0
İspanyoletler,28 Eks. Kilitli Tırnaklı İspanyolet 180 cm 28/85,12803,adet,,"",0.0
Pervaz ve Kapatma Profilleri,30x30 Köşebent (934 Nimbus (Çift Yüz)),12543-934NIMBUS,mtul,934 Nimbus,"",0.0
Pervaz ve Kapatma Profilleri,30x30 Köşebent (Antrasit Gri),12543-ANTRASIT,mtul,Antrasit Gri,"",0.0
Pervaz ve Kapatma Profilleri,30x30 Köşebent (Beyaz),12543-BEYAZ,mtul,Beyaz,"",0.0
Kepenk Aksesuarları,37x34 Aluminyum Kutu 1 mm,13049,adet,,"",0.0
Sınıflandırılmamış,4+16+4 Çift Cam,4-16-4-CIFT-CAM,m2,,"",0.0
Sınıflandırılmamış,4+16+4 Çift Cam Buzlu,4-16-4-CIFT-CAM-BUZL,m2,,"",0.0
Sınıflandırılmamış,4+16+4 Jaluzili Cam,4-16-4-JALUZILI-CAM,m2,,"",0.0
HS76 Aksesuar,40x40 Kutu Destek Sacı,14357,adet,,"",0.0
Sınıflandırılmamış,4mm Tek Cam Buzlu,4MM-TEK-CAM-BUZLU,m2,,"",0.0
Doğrama Lambrileri,56x30 Federli Profil (934 Nimbus (Çift Yüz)),12537-934NIMBUS,mtul,934 Nimbus,"",0.0
Doğrama Lambrileri,56x30 Federli Profil (Antrasit Gri),12537-ANTRASIT,mtul,Antrasit Gri,"",0.0
Doğrama Lambrileri,56x30 Federli Profil (Beyaz),12537-BEYAZ,mtul,Beyaz,"",0.0
Doğrama Lambrileri,60x60 Kutu Profili (934 Nimbus (Çift Yüz)),12432-934NIMBUS,mtul,934 Nimbus,"",0.0
Doğrama Lambrileri,60x60 Kutu Profili (Antrasit Gri),12432-ANTRASIT,mtul,Antrasit Gri,"",0.0
Doğrama Lambrileri,60x60 Kutu Profili (Beyaz),12432-BEYAZ,mtul,Beyaz,"",0.0
Zendow Ana Profiller,70 mm Kanat Adaptör (934 Nimbus (Çift Yüz)),12621-934NIMBUS,mtul,934 Nimbus,"",0.0
Zendow Ana Profiller,70 mm Kanat Adaptör (Antrasit Gri),12621-ANTRASIT,mtul,Antrasit Gri,"",0.0
Zendow Ana Profiller,70 mm Kanat Adaptör (Beyaz),12621-BEYAZ,mtul,Beyaz,"",0.0
Doğrama Lambrileri,70x100 Kutu Profili (934 Nimbus (Çift Yüz)),12433-934NIMBUS,mtul,934 Nimbus,"",0.0
Doğrama Lambrileri,70x100 Kutu Profili (Antrasit Gri),12433-ANTRASIT,mtul,Antrasit Gri,"",0.0
Doğrama Lambrileri,70x100 Kutu Profili (Beyaz),12433-BEYAZ,mtul,Beyaz,"",0.0
Enjeksiyon Malzemeler,75 Kapı Köşe Kaynak Takozu,13150,adet,,"",0.0
Contalar,"9,5 mm TPE Conta",10583,adet,,"",0.0
Destek Profilleri,90 Köşe Dönüş (934 Nimbus (Çift Yüz)),12352-934NIMBUS,mtul,934 Nimbus,"",0.0
Destek Profilleri,90 Köşe Dönüş (Antrasit Gri),12352-ANTRASIT,mtul,Antrasit Gri,"",0.0
Destek Profilleri,90 Köşe Dönüş (Beyaz),12352-BEYAZ,mtul,Beyaz,"",0.0
Legend Art Yardımcı Malzemeler,90/67 Statik Ortakayıt Kapak,11614,adet,,"",0.0
Destek Profilleri,Açılı Köşe Dönüş 70 mm (Contalı) (934 Nimbus (Çift Yüz)),12356-934NIMBUS,mtul,934 Nimbus,"",0.0
Destek Profilleri,Açılı Köşe Dönüş 70 mm (Contalı) (Antrasit Gri),12356-ANTRASIT,mtul,Antrasit Gri,"",0.0
Destek Profilleri,Açılı Köşe Dönüş 70 mm (Contalı) (Beyaz),12356-BEYAZ,mtul,Beyaz,"",0.0
Legend Crown 76 Profilleri,Açılı Köşe Dönüş 76 mm (934 Nimbus (Çift Yüz)),11034-934NIMBUS,mtul,934 Nimbus,"",0.0
Legend Crown 76 Profilleri,Açılı Köşe Dönüş 76 mm (Antrasit Gri),11034-ANTRASIT,mtul,Antrasit Gri,"",0.0
Legend Crown 76 Profilleri,Açılı Köşe Dönüş 76 mm (Beyaz),11034-BEYAZ,mtul,Beyaz,"",0.0
Kilit Karşılıkları,Adaptör Kilit Karşılık,12810,adet,,"",0.0
Diğer Yardımcı Malzemeler,Akrilikli Boyama Kalemi,373,adet,,"",0.0
Enjeksiyon Malzemeler,Alm. Eşik Yan Kapak Zendow (Kasa),13140,adet,,"",0.0
Enjeksiyon Malzemeler,Alm. Eşik Yan Kapak Zendow (Pervaz),13141,adet,,"",0.0
Legend Sürme Plus Aksesuar,Alm. Kilit Karşılık Besleme 13 mm,10449,adet,,"",0.0
Eşikler,Alüminyum Eşik 20x70 mm (Zendow),12974,adet,,"",0.0
Enjeksiyon Malzemeler,Ana Cam Takozu 67/9 (Legend),11631,adet,,"",0.0
Pencere ve Kapı Kolları,Artemis Kapı Kolu,13344,adet,,"",0.0
Pencere ve Kapı Kolları,Artemis Pencere Kolu,13343,adet,,"",0.0
Kilit Karşılıkları,Ayarlı Kapı Kilit Aynası,12907,adet,,"",0.0
Menteşeler,Ayarlı Kapı Menteşe 2D,12920,adet,,"",0.0
Menteşeler,Ayarlı Kapı Menteşe 3D,13538,adet,,"",0.0
Menteşeler,Ayarlı Kapı Menteşe Dolgusu 2D,13127,adet,,"",0.0
Kilit Karşılıkları,Ayarlı Kilit Aynası,12906,adet,,"",0.0
Sürme Ana Profiller,Bağ Profili 70 mm (934 Nimbus (Çift Yüz)),12358-934NIMBUS,mtul,934 Nimbus,"",0.0
Sürme Ana Profiller,Bağ Profili 70 mm (Antrasit Gri),12358-ANTRASIT,mtul,Antrasit Gri,"",0.0
Sürme Ana Profiller,Bağ Profili 70 mm (Beyaz),12358-BEYAZ,mtul,Beyaz,"",0.0
Sürme Ana Profiller,Bağ Profili 92 mm (934 Nimbus (Çift Yüz)),12359-934NIMBUS,mtul,934 Nimbus,"",0.0
Sürme Ana Profiller,Bağ Profili 92 mm (Antrasit Gri),12359-ANTRASIT,mtul,Antrasit Gri,"",0.0
Sürme Ana Profiller,Bağ Profili 92 mm (Beyaz),12359-BEYAZ,mtul,Beyaz,"",0.0
Bareller,Barel 100 mm (Legend-Legend Sürme),10819,adet,,"",0.0
Hebeschiebe HS76 Aksesuarları,Barel 110 mm,13479,adet,,"",0.0
Bareller,Barel 83 mm (Sürme),12880,adet,,"",0.0
Bareller,Barel 90 mm (Zendow-Crown),12826,adet,,"",0.0
İspanyoletler,Barelsiz Kilitli İspanyolet 35/85,13540,adet,,"",0.0
Diğer Profil Tedarikçileri,BİNİ PR İÇ ANTRASİT GRİ,BINI-PR-IC-ANTRASIT,adet,Antrasit Gri,"",0.0
Panjur Genel Malzemeleri,Boru Başı Pimli 40 mm,13115,adet,,"",0.0
Panjur Genel Malzemeleri,Boru Başı Pimli 60 mm,13179,adet,,"",0.0
Ultraslide Sürme Aksesuarları,BSK-P/LS-Stoplama Kauçuk,BSK-P-LS-STOPLAMA-KA,adet,,"",0.0
Legend Sürme Plus Aksesuar,C Şema Kit,10379,adet,,"",0.0
Ultraslide Sürme Aksesuarları,"ÇA-1730/40 İsp,2GP+,Gr5:1585-2000 (Ultraslide)",CA-1730-40-ISP-2GP-G,adet,,"",0.0
Sürme Cam Çıta,"Cam Çıta 12,5 mm (934 Nimbus (Çift Yüz))",12650-934NIMBUS,mtul,934 Nimbus,"",0.0
Sürme Cam Çıta,"Cam Çıta 12,5 mm (Antrasit Gri)",12650-ANTRASIT,mtul,Antrasit Gri,"",0.0
Sürme Cam Çıta,"Cam Çıta 12,5 mm (Beyaz)",12650-BEYAZ,mtul,Beyaz,"",0.0
Zendow Cam Çıta,"Cam Çıta 15,5 mm (934 Nimbus (Çift Yüz))",12643-934NIMBUS,mtul,934 Nimbus,"",0.0
Zendow Cam Çıta,"Cam Çıta 15,5 mm (Antrasit Gri)",12643-ANTRASIT,mtul,Antrasit Gri,"",0.0
Zendow Cam Çıta,"Cam Çıta 15,5 mm (Beyaz)",12643-BEYAZ,mtul,Beyaz,"",0.0
Legend Cam Çıta,Cam Çıta 17 mm (934 Nimbus (Çift Yüz)),12146-934NIMBUS,mtul,934 Nimbus,"",0.0
Zendow Cam Çıta,Cam Çıta 17 mm (934 Nimbus (Çift Yüz)),12340-934NIMBUS,mtul,934 Nimbus,"",0.0
Legend Cam Çıta,Cam Çıta 17 mm (Antrasit Gri),12146-ANTRASIT,mtul,Antrasit Gri,"",0.0
Zendow Cam Çıta,Cam Çıta 17 mm (Antrasit Gri),12340-ANTRASIT,mtul,Antrasit Gri,"",0.0
Zendow Cam Çıta,Cam Çıta 17 mm (Beyaz),12340-BEYAZ,mtul,Beyaz,"",0.0
Legend Cam Çıta,Cam Çıta 17 mm (Beyaz),12146-BEYAZ,mtul,Beyaz,"",0.0
Zendow Cam Çıta,Cam Çıta 24 mm (934 Nimbus (Çift Yüz)),12640-934NIMBUS,mtul,934 Nimbus,"",0.0
Zendow Cam Çıta,Cam Çıta 24 mm (Antrasit Gri),12640-ANTRASIT,mtul,Antrasit Gri,"",0.0
Zendow Cam Çıta,Cam Çıta 24 mm (Beyaz),12640-BEYAZ,mtul,Beyaz,"",0.0
Legend Crown Profilleri,Cam Çıta 24 mm (Crown) (934 Nimbus (Çift Yüz)),10144-934NIMBUS,mtul,934 Nimbus,"",0.0
